date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
7.10.목,"새로운 샌디치, 샐러드 카페를 알게 되어서 방문했습니다. 가격도 합리적이고 샌드위치도 엄청엄청 맛 있습니다!! 자주 방문 할 것 같아요! 번창하세요!!!!!"
7.18.금,사장님 친절하시구 맛있어요
8.5.화,반응 남기기 방문일 8.5.화 2025년 8월 5일 화요일 6번째 방문 인증 수단 영수증
2.19.수,샌드위치가 맛있습니다.  주변에 까페가 많지만 샐러드 샌드위치 추천합니다
4.8.화,음료 금방 나오고 좋아요~
4.7.월,반응 남기기 방문일 4.7.월 2025년 4월 7일 월요일 5번째 방문 인증 수단 영수증
4.2.수,반응 남기기 방문일 4.2.수 2025년 4월 2일 수요일 4번째 방문 인증 수단 영수증
3.5.수,반응 남기기 방문일 3.5.수 2025년 3월 5일 수요일 3번째 방문 인증 수단 영수증
24.11.22.금,점심을 먹고 직윈이 사준 커피~ 맛있다 부담이 적어 더좋다~^^
24.11.15.금,점심먹고 차한잔 특히 아보카도바나나스무디가 안달고 맛있어요~강추!
24.10.11.금,점심먹고 동료와 차를 가성비가 좋아요~~~^^
24.10.18.금,회사 밑이라 자주 방문합니다 . 아침에 세트로 구매해서 점심에 먹어요. 가성비 좋습니다!!!맛잇어요
24.9.27.금,아직은. 덥다~~점심먹고. 아이스커피가 땡겨요~~가성비 짱!
24.8.30.금,커피도 맛있고 디저트도 맛있고 가격이 착합니다~~~
24.8.27.화,음료가 아주 맛있네요. 바쁠 때 패쓰오더가 있으면 훨씬 편리할 것 같습니다. 사용해주시면 감사하겠습니다.
24.11.11.월,반응 남기기 방문일 24.11.11.월 2024년 11월 11일 월요일 1번째 방문 인증 수단 영수증
24.5.17.금,"점심에 혼밥할 곳 찾다가 발견한 곳!👀👀 샐러드 재료가 신선하고,구성도 알차네요.👍👍 무엇보다 가격도 저렴하니 점심에 가볍게 한끼 먹기 좋아요~!"
24.10.11.금,반응 남기기 방문일 24.10.11.금 2024년 10월 11일 금요일 1번째 방문 인증 수단 영수증
24.6.28.금,반응 남기기 방문일 24.6.28.금 2024년 6월 28일 금요일 7번째 방문 인증 수단 영수증
24.7.10.수,"사장님, 여기는 언제 패스오더 도입되나요? 요즘 이벤트 많이 하시던데요 🤔"
24.7.2.화,반응 남기기 방문일 24.7.2.화 2024년 7월 2일 화요일 1번째 방문 인증 수단 영수증
24.6.27.목,샌드위치 사러 종종 들르는 가게입니다 샌드위치가 아주 신선하고 맛있어요 거기다 가격까지 저렴합니다 앞으로도 계속 방문하려고요 일하시는 분들도 모두 친절하십니다
24.11.12.화,반응 남기기 방문일 24.11.12.화 2024년 11월 12일 화요일 1번째 방문 인증 수단 영수증
24.2.8.목,회사근처 샐러드 집 찾다가 발견한곳인데 아침에 할인도 해주고 너무 좋아요. 재료신선하고 양도 적지않아 가볍게 점심먹고싶을때 또 가게될거같습니다.
24.6.14.금,샌드위치가 맛있고 사장님이 친절해요
24.2.27.화,커피 맛있어요 샐러드랑 샌드위치도 먹어보고 싶어요
23.12.19.화,아침일찍 오픈해서 좋아요 굿
23.8.22.화,"합리적인 가격에 혜자로운 샌드위치와 샐러드, 진하고 맛있는 커피, 그리고 친절한 사장님이 삼위일체인 카페로 사옥 이전 전까지 정말 많이 이용했던 카페예요~!"
23.8.9.수,자주 들리는 가게입이다 청결하고 깨끗해서 조아요
23.5.8.월,금액권 할인 텀블러 할인 여러가지 적용해주셔서 합리적인 가격으로 모닝커피 점심샐러드 다 먹을수 있네요
23.7.20.목,아침에 샐러드에 커피 테이크아웃해서 먹기 좋아요!
23.6.20.화,커피싸고 맛있어여 샌드위치 아침할인은 10%도 해주시네요 :)
23.6.26.월,반응 남기기 방문일 23.6.26.월 2023년 6월 26일 월요일 8번째 방문 인증 수단 결제내역
23.3.15.수,가성비 좋고 할인율 좋고 사장님 두분이 한결같이 친절하세요
23.1.2.월,샌드위치와 스프가 엄청 고급진 맛이에요 음식과 같이 음료주문하면 천원할인도 되요 가성비 좋게 건강한 식사가 가능해요 매장 심할정도로 청결하고 아주 친절합니다
23.4.25.화,샌드위치 샐러드 맛집
23.6.28.수,반응 남기기 방문일 23.6.28.수 2023년 6월 28일 수요일 1번째 방문 인증 수단 영수증
23.6.2.금,유니드카페 23.6.17.토 저희 샌드위치 매번 맛있다해주시고 사진과함께한 리뷰도 남겨주시고 너무 감사합니다!! 앞으로도 자주 들러주세요😊
23.5.22.월,맛있어요..알차고 가성비도 짱
23.1.5.목,샐러드 & 샌드위치 가성비가 너무 좋아요-!!!  모든 메뉴가 다 맛있는데 그 중- 닭가슴살 샐러드 & 참깨드레싱 추천합니다~ :)
23.3.27.월,사장님 두분 늘 친절하시고 할인율 좋아요
23.3.24.금,유니드카페 23.3.24.금 안녕하세요 고객님! 저희 샌드위치 좋아해주셔서 너무 감사합니다😊 샌드위치와 샐러드 모두 당일생산 당일폐기하기에 신선하게 드실 수 있고 소스부터 속까지 모두 저희가 직접 만들고있답니다✌️ 앞으로도 자주 들러주세요!! 접기
23.2.23.목,크랜베리 닭가슴살 맛있어요! 견과류도 들어가있어서 고소고소*
