date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
8.23.토,넘 맛있어요~~ 다 맛있어서 요것도 먹어보고 저것도 먹어보고 가성비도 넘 좋아요~~^^
9.1.월,반응 남기기 방문일 9.1.월 2025년 9월 1일 월요일 1번째 방문 인증 수단 영수증
24.12.18.수,"넘넘 오랜만에 들린 커피가루! 레몬차 자몽차주문, 제입엔 다소 달아요~ 레몬차가 신맛을 기대했는데... 자몽차가 더 제입에 맞았어요 적립도 되네요  사업번창하세요!!!"
24.10.22.화,커피가 진하고 끝맛(향)이 좋아요.
24.8.9.금,반응 남기기 방문일 24.8.9.금 2024년 8월 9일 금요일 1번째 방문 인증 수단 영수증
24.2.3.토,왕십리 커피 맛집 인정 ☕️ 가성비 갑 이네요 ^^ 체인점이 아닌 사장님 커피부심 있으셔서 커피향과 맛이 좋네요 왕십리 오실때 꼭들려서 맛있는 커피 드셔보세요 친정한 사장님 최고
24.3.22.금,커피 맛집!! 사장님 넘 친절하시고 포인트 적립 10%씩이나 해주셔서 좋아요👍🏻👍🏻
24.3.25.월,바닐라라떼 맛집 👍🏻👍🏻
24.2.6.화,오늘은 유자차 겨울엔 유자차 어닌가요 ^^ 와우 요즘 같이 배달비가 부담되서 음료 배달해 마시기 조끔 부담 되었는데 이제 사무실에서 커피가루 무료배달 써비스 이용해봐야 겠습니다 사무실 주변에 음료 무료 배달이 생겨 너무 좋아요
24.3.27.수,반응 남기기 방문일 24.3.27.수 2024년 3월 27일 수요일 4번째 방문 인증 수단 영수증
