date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
10.7.화,친절하고 커피가 맛있어요
6.30.월,"[커피베이 성동성수점] – 가격도, 마음도 시원한 카페  성수에서 무더위에 지쳐 우연히 들른 커피베이 성동성수점. 그런데 예상치 못한 감동이 기다리고 있었습니다.  들어서자마자 사장님께서 에어컨 바람 세기와 냉수부터 챙겨주셨는데, 그 작은 배려 하나가 더운 마음까지 식혀주더라고요. 이런 게 바로 ‘사람이 남는 카페’ 아닐까요?  라지 아이스 아메리카노가 단돈 2천 원, 크림치즈 베이글은 퀄리티 대비 훨씬 더 값진 한입. 특히 크림치즈를 이렇게 넉넉히 주는 곳은 정말 드뭅니다. 식감도 좋아서 단숨에 1분 컷 완료.  무엇보다 이곳은 가격이나 메뉴 이상의 무언가가 있어요. 근처 카페를 가려다 결국 여기로 다시 오고 싶게 만드는 곳. ‘성수에 이런 공간이 있었나?’ 싶을 정도로 만족스럽고 따뜻했습니다."
7.15.화,맨날 지나가면서 아직도 커피베이가 있네~~~ 하고 말았는데;; 처음 가봤는데 매장 시원하고 깔끔하고 무엇보다 사장님이 친절하셔서 좋았어요
5.19.월,경찰청 버스쪽으로 고개만 살짝 옆으로 돌리면 있는 곳인데 평소에 지나쳐왔네요. 편안한 분위기라 방문했는데 음료 할인이벤트 중이라 놀랐어요ㅠ 아늑한 분위기라 많이 방문해보시면 좋을 것같습니다.
5.8.목,반응 남기기 18 명 방문일 5.8.목 2025년 5월 8일 목요일 3번째 방문 인증 수단 영수증
2.5.수,반응 남기기 9 명 방문일 2.5.수 2025년 2월 5일 수요일 2번째 방문 인증 수단 영수증
24.10.31.목,아이스아메리카노 행사하네요~ 잘먹고갑니다.
4.26.토,반응 남기기 방문일 4.26.토 2025년 4월 26일 토요일 1번째 방문 인증 수단 영수증
4.23.수,음료와 커피 다양하게 있고 미니 쿠키도 서비스로 제공하네요
3.12.수,반응 남기기 방문일 3.12.수 2025년 3월 12일 수요일 1번째 방문 인증 수단 영수증
8.25.월,반응 남기기 방문일 8.25.월 2025년 8월 25일 월요일 1번째 방문 인증 수단 영수증
24.8.12.월,에어컨이 조금 약했지만 직원분이 친절하셨어요 :)
24.3.8.금,"""오래 기다리게 해서 미안해요! 쿠키 가져가셔요"" 다행히 바쁜 상황은 아니였기에, 충분히 기다릴 수 있는 시간이었습니다. 혼자서 일하며 많은 주문을 쳐내기엔 물리적으로도 시간이 걸리는건 당연하니까요. 사장님이 주신 쿠키는 진심이 느껴지는 맛이었습니다. 작게 느껴질 수 있는 표현도 큰 힘을 발휘하는군요. 표현하지 않으면 모른다는게 사실은 맞는 말이라 생각합니다. 내 맘은 표현하지 않아도 알아차렸으면 좋겠고 그대는 모든 것을 말해주길 바라는 것 같은 저도 고치고싶은 부분입니다. 작은 것으로도 표현하기 시작해야겠습니다!"
24.5.27.월,편하게 얘기하기 좋은곳
24.4.25.목,반응 남기기 방문일 24.4.25.목 2024년 4월 25일 목요일 2번째 방문 인증 수단 결제내역
24.3.15.금,성수 사람이 많아서... 왔어요..🥹
24.1.9.화,사장님께서 너무 친절하시고 밝은 미소로 대해주셔서 마음이 따뜻해지고 감사했어요! 자리가 좁을까봐 배려도 해주시고 감사합니다 음식도 맛있고 매장도 청결하고 너무 좋았습니다:)
24.3.14.목,반응 남기기 방문일 24.3.14.목 2024년 3월 14일 목요일 1번째 방문 인증 수단 영수증
24.3.13.수,반응 남기기 방문일 24.3.13.수 2024년 3월 13일 수요일 1번째 방문 인증 수단 영수증
24.3.9.토,반응 남기기 방문일 24.3.9.토 2024년 3월 9일 토요일 1번째 방문 인증 수단 영수증
24.5.16.목,반응 남기기 방문일 24.5.16.목 2024년 5월 16일 목요일 3번째 방문 인증 수단 영수증
23.9.1.금,반응 남기기 방문일 23.9.1.금 2023년 9월 1일 금요일 2번째 방문 인증 수단 영수증
23.11.20.월,반응 남기기 방문일 23.11.20.월 2023년 11월 20일 월요일 1번째 방문 인증 수단 결제내역
23.5.24.수,편안하게 즐길수 있는곳
23.11.21.화,커피와 다양한 음료수가 저렴하고 맛있어요
23.7.6.목,반응 남기기 방문일 23.7.6.목 2023년 7월 6일 목요일 1번째 방문 인증 수단 영수증
23.2.12.일,"아이스티 3,300원 근처 돌아다니다가 다리가 너무 아파서 들어갔는데 잘 쉬다 나왔습니다 화장실도 깨끗해요👍🏻"
23.6.16.금,반응 남기기 방문일 23.6.16.금 2023년 6월 16일 금요일 1번째 방문 인증 수단 영수증
23.3.8.수,커피값이 많이 저렴해요
23.1.4.수,아메리카노가 저렴하여 자주 찾는 사무실 근처 커피집
22.12.26.월,맛은 나쁘지 않고 대화하기 좋은듯
23.3.14.화,반응 남기기 방문일 23.3.14.화 2023년 3월 14일 화요일 1번째 방문 인증 수단 영수증
23.2.4.토,반응 남기기 방문일 23.2.4.토 2023년 2월 4일 토요일 1번째 방문 인증 수단 영수증
23.1.9.월,반응 남기기 방문일 23.1.9.월 2023년 1월 9일 월요일 2번째 방문 인증 수단 영수증
22.12.12.월,반응 남기기 방문일 22.12.12.월 2022년 12월 12일 월요일 1번째 방문 인증 수단 영수증
23.6.14.수,이벤트로 아아가 1500원이라 매우 저렴~^^
22.11.11.금,커피도 맛있고 분위기도 좋아요
22.10.26.수,반응 남기기 방문일 22.10.26.수 2022년 10월 26일 수요일 1번째 방문 인증 수단 영수증
22.12.20.화,반응 남기기 방문일 22.12.20.화 2022년 12월 20일 화요일 1번째 방문 인증 수단 영수증
22.12.12.월,반응 남기기 방문일 22.12.12.월 2022년 12월 12일 월요일 1번째 방문 인증 수단 영수증
22.10.31.월,반응 남기기 방문일 22.10.31.월 2022년 10월 31일 월요일 1번째 방문 인증 수단 영수증
22.8.10.수,반응 남기기 방문일 22.8.10.수 2022년 8월 10일 수요일 1번째 방문 인증 수단 영수증
