date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
1.23.목,그렇게 큰기대 없었는데 카페모카가 정말 맛있었습니다! 마들렌이랑 휘낭시에는 좀 더 버터 풍미가 있었으면 좋겠지만 개인취향이고 가게마다 다른게 구움과자의 매력이죠  가게가 2층짜리인 줄 알았는데 1층 소박하게 있습니다! 근데 또 그게 아늑하네요
23.9.16.토,이 동네에서 가장 가성비 좋은 카페죠
23.7.22.토,반응 남기기 방문일 23.7.22.토 2023년 7월 22일 토요일 1번째 방문 인증 수단 영수증
23.1.16.월,가성비 단연 최고 사장님이 운영하시니 맛도 최고..알바만있는 프렌차이즈와 비교안됨..
23.2.27.월,반응 남기기 방문일 23.2.27.월 2023년 2월 27일 월요일 1번째 방문 인증 수단 결제내역
23.1.9.월,저가커피 중에선 여기가 젤 맛있어요!
23.1.26.목,반응 남기기 방문일 23.1.26.목 2023년 1월 26일 목요일 1번째 방문 인증 수단 영수증
22.12.22.목,반응 남기기 방문일 22.12.22.목 2022년 12월 22일 목요일 1번째 방문 인증 수단 영수증
22.9.27.화,반응 남기기 방문일 22.9.27.화 2022년 9월 27일 화요일 1번째 방문 인증 수단 영수증
21.12.14.화,깊은 원두의 맛
21.12.29.수,표정을 눌러 반응을 남겨 보세요! 반응 남기기 1 명 방문일 21.12.29.수 2021년 12월 29일 수요일 1번째 방문 인증 수단 영수증
21.12.29.수,반응 남기기 방문일 21.12.29.수 2021년 12월 29일 수요일 1번째 방문 인증 수단 영수증
21.10.7.목,반응 남기기 방문일 21.10.7.목 2021년 10월 7일 목요일 1번째 방문 인증 수단 영수증
21.6.21.월,반응 남기기 방문일 21.6.21.월 2021년 6월 21일 월요일 1번째 방문 인증 수단 영수증
21.6.21.월,반응 남기기 방문일 21.6.21.월 2021년 6월 21일 월요일 1번째 방문 인증 수단 영수증
21.6.21.월,반응 남기기 방문일 21.6.21.월 2021년 6월 21일 월요일 1번째 방문 인증 수단 영수증
21.1.16.토,반응 남기기 방문일 21.1.16.토 2021년 1월 16일 토요일 1번째 방문 인증 수단 영수증
20.8.21.금,매장이 예쁘고 커피가 맛있어요
20.9.30.수,동네 한가운데 조용하고 맛있는커피집
19.8.3.토,반응 남기기 방문일 19.8.3.토 2019년 8월 3일 토요일 1번째 방문 인증 수단 영수증
