date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
7.31.목,반응 남기기 방문일 7.31.목 2025년 7월 31일 목요일 6번째 방문 인증 수단 영수증
7.15.화,반응 남기기 방문일 7.15.화 2025년 7월 15일 화요일 5번째 방문 인증 수단 영수증
6.30.월,반응 남기기 방문일 6.30.월 2025년 6월 30일 월요일 4번째 방문 인증 수단 영수증
6.16.월,반응 남기기 방문일 6.16.월 2025년 6월 16일 월요일 3번째 방문 인증 수단 영수증
5.31.토,반응 남기기 방문일 5.31.토 2025년 5월 31일 토요일 2번째 방문 인증 수단 영수증
4.30.수,반응 남기기 방문일 4.30.수 2025년 4월 30일 수요일 1번째 방문 인증 수단 영수증
23.1.27.금,반응 남기기 방문일 23.1.27.금 2023년 1월 27일 금요일 1번째 방문 인증 수단 영수증
22.11.8.화,반응 남기기 방문일 22.11.8.화 2022년 11월 8일 화요일 1번째 방문 인증 수단 영수증
22.8.9.화,음식은 맛있는데 테이블 그릇 끈적거려요 ㅠㅠㅠㅠ
22.11.5.토,반응 남기기 방문일 22.11.5.토 2022년 11월 5일 토요일 1번째 방문 인증 수단 영수증
21.10.19.화,진짜 맛 있어요. 시설이 시장안이라 좀 깨끗한 이미지는 아니지만 맛 있습니다.
21.10.22.금,반응 남기기 방문일 21.10.22.금 2021년 10월 22일 금요일 2번째 방문 인증 수단 영수증
21.7.27.화,백반 맛있게 먹었어요
21.2.13.토,반응 남기기 방문일 21.2.13.토 2021년 2월 13일 토요일 1번째 방문 인증 수단 영수증
20.8.19.수,반응 남기기 방문일 20.8.19.수 2020년 8월 19일 수요일 1번째 방문 인증 수단 영수증
