date,content
"""친절해요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
23.12.4.월,반응 남기기 방문일 23.12.4.월 2023년 12월 4일 월요일 1번째 방문 인증 수단 영수증
22.10.28.금,반응 남기기 방문일 22.10.28.금 2022년 10월 28일 금요일 2번째 방문 인증 수단 영수증
22.8.31.수,반응 남기기 방문일 22.8.31.수 2022년 8월 31일 수요일 2번째 방문 인증 수단 영수증
22.1.29.토,남자친구랑 명절 맞이 홈파티 하기 위해 들려 사장님한테 추천 받아 산 두병 역시나 성공적이였습니다☺️ 언제나 친절하게 추천해주시는 사장님 덕분에 늘 성공적인 홈파티를 할 수 있어 행복합니다💕
22.1.15.토,매번 새로운 술은 먹고 싶지만 어떤걸 먹어야할지 몰라 매번 추천을 받는데 실패한적이 단 한번도 없습니다!! 까다로운 친구들도 매력에 빠져 모임이 있을땐 항상 들렸다 집 가는 곳이에요 다들 믿고 추천받아 보세요👍
22.3.13.일,반응 남기기 방문일 22.3.13.일 2022년 3월 13일 일요일 1번째 방문 인증 수단 영수증
22.3.28.월,친절하고 종류가 많아요
22.5.27.금,반응 남기기 방문일 22.5.27.금 2022년 5월 27일 금요일 1번째 방문 인증 수단 영수증
22.1.31.월,연휴의 시작을 와인과 했는데 다음날 또 아쉬워 방문했지 뭐에요🥺 다들 추천 받아보세요!! 완전 성공적입니다🥰
21.12.26.일,저렴이들로 추천 부탁드렸는데 둘 다 맛있어요. 감사합니다
21.10.10.일,벌써 세번째 방문이에요! 오늘도 역시 친절하고 예쁘신 사장님께서 맛있는 와인을 추천해주셨어요🤭 사장님께서 추천해주시는 와인은 언제나 성공적입니다🥰 드시고 싶은 와인의 느낌을 말씀하시면 다들 맛있는 와인을 드실 수 있으실거에요!!
22.2.3.목,반응 남기기 방문일 22.2.3.목 2022년 2월 3일 목요일 1번째 방문 인증 수단 영수증
21.9.11.토,와인 잘 모르는 저에게 눈높이 설명으로 알맞게 해주시구 추천도 너무 잘해주세요!! 두번째 방문했는데 사장님이 너무 예쁘구 친절해요🥰 다음에 또 방문할게요 오늘도 맛있는 술을 추천해주셔서 감사합니다😘
21.8.26.목,사장님이 친절하세요. 와인 종류도 다양하고. 가격도 저렴. 위스키도 좀 있네요.
21.11.10.수,반응 남기기 방문일 21.11.10.수 2021년 11월 10일 수요일 1번째 방문 인증 수단 영수증
21.8.20.금,오늘도 와인 사러 왔어요~~~ 사장님이 너무 친절 하시고 가게가 넘 이뻐요~^^
